Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Stay Alert,1956,153,"Comedy, Drama",8.2,913,Amit Mitra,Sombhu Mitra,Pradeep Kumar,Sumitra Devi
Taj,1956,138,"Drama, Music",6.6,8,Nandlal Jaswantlal,Vyjayanthimala,Pradeep Kumar,Bipin Gupta
Aasha,1957,171,"Comedy, Romance",6.5,23,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran
Ab Dilli Dur Nahin,1957,133,Drama,7.6,80,Amar Kumar,Master Romi,Sulochana Latkar,Lala Yaqoob
Apradhi Kaun?,1957,131,Mystery,7.5,68,Asit Kumar Sen,Abhi Bhattacharya,Mala Sinha,Gajanan Jagirdar
Baarish,1957,133,"Crime, Drama, Romance",7.2,37,Shankar Mukherjee,Dev Anand,Nutan,Anwar Hussain
Bandi,1957,135,"Drama, Family",6.2,27,Satyen Bose,Ashok Kumar,Shyama,Kishore Kumar
Bhabhi,1957,165,Drama,6.7,47,R. Krishnan,S. Panju,Balraj Sahni,Pandharibai
Changez Khan,1957,135,"Action, Adventure, History",7.1,20,Kedar Kapoor,Prem Nath,Bina Rai,Sheikh Mukhtar
Dekh Kabira Roya,1957,141,"Comedy, Romance",7.4,29,Amiya Chakrabarty,Anita Guha,Anoop Kumar,Jawahar Kaul
Do Ankhen Barah Haath,1957,143,"Comedy, Crime, Drama",8.4,1710,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Ulhas
Dushman,1957,138,Drama,7.1,17,Raj Rishi,Dev Anand,Usha Kiran,Prabhu Dayal
Ek Gaon Ki Kahani,1957,137,Drama,6.4,14,Dulal Guha,Talat Mahmood,Mala Sinha,I.S. Johar
Ek Saal,1957,134,"Drama, Family, Romance",7.3,37,Devendra Goel,Ashok Kumar,Madhubala,Johnny Walker
Fashion,1957,148,"Drama, Family",8,9,Lekhraj Bhakri,Pradeep Kumar,Manoj Kumar,Mala Sinha
Johnny-Walker,1957,151,"Comedy, Romance",6,9,Madan,Daljit Ved,Shyama,Johnny Walker
Kath Putli,1957,152,"Drama, Family",6.9,29,Nitin Bose,Amiya Chakrabarty,Vyjayanthimala,Balraj Sahni
Maa,1957,120,"Drama, Romance",7.2,12,Bimal Roy,Bharat Bhushan,Leela Chitnis,Kusum Deshpande
Mai Baap,1957,144,"Comedy, Drama",6.8,14,M. Sadiq,Balraj Sahni,Shyama,Raj Mehra
Mirza Sahiban,1957,119,Romance,7.3,27,Ravi Kapoor,Shyama,Shammi Kapoor,Ram Singh
Miss India,1957,148,Drama,7.5,17,I.S. Johar,Nargis,Pradeep Kumar,Pran
Mother India,1957,172,"Drama, Musical, Family",8,8788,Mehboob Khan,Nargis,Sunil Dutt,Rajendra Kumar
Mr. X,1957,120,"Crime, Drama, Mystery",5.5,20,Nanabhai Bhatt,Ashok Kumar,Nalini Jaywant,Ragini
Musafir,1957,149,Drama,7.4,100,Hrishikesh Mukherjee,Shekhar,Suchitra Sen,Bipin Gupta
Nau Do Gyarah,1957,170,"Comedy, Romance, Thriller",6.8,141,Vijay Anand,Dev Anand,Kalpana Kartik,Shashikala
Nausherwan-E-Adil,1957,137,"Action, Adventure, Drama",6.5,18,Sohrab Modi,Sohrab Modi,Raaj Kumar,Mala Sinha
Naya Daur,1957,173,"Drama, Musical, Romance",8,1102,B.R. Chopra,Dilip Kumar,Vyjayanthimala,Ajit
Neel Mani,1957,140,Drama,6.1,12,Kundan Kumar,Prem Adib,Mohan Choti,Nalini Jaywant
Pardesi,1957,152,"Adventure, Biography, History",7,103,Khwaja Ahmad Abbas,Vasili Pronin,Prithviraj Kapoor,Balraj Sahni
Paying Guest,1957,157,"Comedy, Crime, Drama",7.1,225,Subodh Mukherji,Dev Anand,Nutan,Gajanan Jagirdar
Pyaasa,1957,146,"Drama, Musical, Romance",8.4,5823,Guru Dutt,Guru Dutt,Waheeda Rehman,Mala Sinha
Sharada,1957,128,"Drama, Romance, Musical",6.6,101,L.V. Prasad,Raj Kapoor,Meena Kumari,Shyama
Tumsa Nahin Dekha,1957,156,"Musical, Romance",7,121,Nasir Hussain,Shammi Kapoor,Ameeta,Pran
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
Adalat,1958,139,"Drama, Musical, Romance",6.9,36,Kalidas,Nargis,Pradeep Kumar,Pran
Amar Deep,1958,148,"Musical, Romance",6.6,38,T. Prakash Rao,Dev Anand,Vyjayanthimala,Padmini
Bhookailas,1958,174,"Drama, Musical",7.1,143,K. Shankar,N.T. Rama Rao,Akkineni Nageshwara Rao,Jamuna
Chalti Ka Naam Gaadi,1958,173,"Comedy, Musical, Romance",8,1514,Satyen Bose,Ashok Kumar,Madhubala,Anoop Kumar
Detective,1958,114,Mystery,6.4,15,Shakti Samanta,Pradeep Kumar,Mala Sinha,Johnny Walker
Do Phool,1958,161,"Drama, Family",6,7,Abdul Rashid Kardar,Kumari Naaz,Master Romi,Vijaya Choudhury
Howrah Bridge,1958,153,"Musical, Thriller",6.9,200,Shakti Samanta,Madhubala,Ashok Kumar,K.N. Singh
Indrani,1958,121,Drama,7.3,57,Niren Lahiri,Suchitra Sen,Uttam Kumar,Biman Bannerjee
Kala Pani,1958,164,"Crime, Musical, Romance",7.1,277,Raj Khosla,Dev Anand,Madhubala,Nalini Jaywant
Khazanchi,1958,51,Romance,5.8,12,Prem Narayan Arora,Shyama,Balraj Sahni,Chitra
Khota Paisa,1958,145,Drama,4.7,7,M. Sadiq,Johnny Walker,Shyama,Jeevan
Lajwanti,1958,120,"Drama, Family",7.3,43,Narendra Suri,Nargis,Balraj Sahni,Kumari Naaz
Madhumati,1958,110,"Fantasy, Musical, Mystery",8,1273,Bimal Roy,Dilip Kumar,Vyjayanthimala,Johnny Walker
Maya Bazaar,1958,150,"Adventure, Fantasy",6.5,21,Babubhai Mistry,Mahipal,Anita Guha,Raj Kumar
Night Club,1958,137,"Crime, Drama",6.2,5,Naresh Saigal,Ashok Kumar,Kamini Kaushal,Mubarak
Panchayat,1958,134,"Drama, Family",6.8,13,Lekhraj Bhakri,Raaj Kumar,Pandharibai,Shyama
Parvarish,1958,129,"Drama, Family",6.8,71,S. Bannerjee,Raj Kapoor,Mala Sinha,Lalita Pawar
Phir Subha Hogi,1958,168,"Drama, Romance",7.5,81,Ramesh Saigal,Raj Kapoor,Mala Sinha,Mubarak
Piya Milan,1958,132,"Action, Adventure, Drama",4.5,8,T.R. Raghunath,Vyjayanthimala,Rajasulochana,M.N. Rajam
Post Box 999,1958,115,"Action, Mystery",6.4,29,Ravindra Dave,Sunil Dutt,Shakila,Leela Chitnis
Raagini,1958,128,"Drama, Family",6.5,10,Rakhan,Ashok Kumar,Kishore Kumar,Padmini
Sadhna,1958,137,Drama,7.2,66,B.R. Chopra,Vyjayanthimala,Sunil Dutt,Radhakrishan
Sahara,1958,135,"Drama, Family",5.6,17,Lekhraj Bhakri,Meena Kumari,M. Rajan,Kuldip Kaur
Samrat Chandragupt,1958,105,"Adventure, Drama, History",6.1,15,Babubhai Mistry,Nirupa Roy,Bharat Bhushan,B.M. Vyas
Sohni Mahiwal,1958,104,"Musical, Romance",5.9,9,Raja Nawathe,Bharat Bhushan,Nimmi,Om Prakash
Solva Saal,1958,135,"Comedy, Romance, Thriller",7,140,Raj Khosla,Dev Anand,Waheeda Rehman,Jagdev
Sone Ki Chidiya,1958,171,"Drama, Romance",6,34,Shaheed Latif,Talat Mahmood,Balraj Sahni,Nutan
Talaaq,1958,182,Drama,6.7,19,Mahesh Kaul,Rajendra Kumar,Kamini Kadam,Sajjan
Yahudi,1958,170,"Action, Drama, Romance",7.2,216,Bimal Roy,Sohrab Modi,Dilip Kumar,Meena Kumari
Zimbo,1958,142,"Adventure, Drama, Thriller",4.8,9,Homi Wadia,Chitra,Azaad Irani,Krishna Kumari
Anari,1959,166,"Comedy, Drama, Musical",7.9,740,Hrishikesh Mukherjee,Raj Kapoor,Nutan,Lalita Pawar
Barkha,1959,169,Romance,4.9,9,R. Krishnan,S. Panju,Jagdeep,Nanda
Bhai-Bahen,1959,136,"Drama, Family",6,5,G.P. Sippy,Daisy Irani,Rajan Kapoor,Kathana
Black Cat,1959,154,"Action, Thriller, Mystery",6.7,25,Nisar Ahmad Ansari,Balraj Sahni,Minoo Mumtaz,Johnny Walker
Chand,1959,149,Drama,6.8,13,Lekhraj Bhakri,Balraj Sahni,Manoj Kumar,Meena Kumari
Chhoti Bahen,1959,155,Drama,6.6,35,L.V. Prasad,Balraj Sahni,Shyama,Rehman
Dhool Ka Phool,1959,153,Drama,6.7,158,Yash Chopra,Mala Sinha,Rajendra Kumar,Nanda
Dil Deke Dekho,1959,187,"Musical, Romance",7,146,Nasir Hussain,Shammi Kapoor,Asha Parekh,Sulochana Latkar
Do Ustad,1959,139,"Action, Crime, Drama",7.1,69,Tara Harish,Raj Kapoor,Madhubala,Sulochana Latkar
Four Faces of India,1959,160,Drama,7.5,57,Khwaja Ahmad Abbas,Raj Kapoor,Ajit,Shammi Kapoor
Goonj Uthi Shehnai,1959,174,"Musical, Romance",7.6,32,Vijay Bhatt,Rajendra Kumar,Ameeta,Anita Guha
Insaan Jaag Utha,1959,135,"Drama, Family, Musical",6.8,38,Shakti Samanta,Sunil Dutt,Madhubala,Nasir Hussain
Jawani Ki Hawa,1959,143,Drama,5,7,M. Sadiq,Pradeep Kumar,Vyjayanthimala,Purnima
Kaagaz Ke Phool,1959,148,Romance,8,2136,Guru Dutt,Waheeda Rehman,Guru Dutt,Kumari Naaz
Kal Hamara Hai,1959,127,Drama,6.7,18,S.K. Prabhakar,Madhubala,Bharat Bhushan,Jayant
Kali Topi Lal Rumal,1959,129,"Musical, Romance",5.7,15,Tara Harish,Shakila,Chandrashekhar,Agha
Kangan,1959,144,Mystery,6.8,9,Nanabhai Bhatt,Nirupa Roy,Ashok Kumar,Purnima
Kanhaiya,1959,175,"Romance, Drama, Family",6.7,45,Om Prakash,Raj Kapoor,Nutan,Lalita Pawar
Kavi Kalidas,1959,139,"Drama, Musical",7.1,17,S.N. Tripathi,Bharat Bhushan,Nirupa Roy,Anita Guha
Love Marriage,1959,157,Romance,7.6,60,Subodh Mukherji,Dev Anand,Mala Sinha,Abhi Bhattacharya
Madari,1959,124,"Action, Fantasy",5.3,17,Babubhai Mistry,Chitra,Ranjan,Manher Desai
Navrang,1959,157,"Drama, Musical, Romance",6.5,139,Shantaram Rajaram Vankudre,Sandhya,Mahipal,Keshavrao Date
Paigham,1959,188,"Comedy, Drama",7,85,S.S. Vasan,Dilip Kumar,Raaj Kumar,Vyjayanthimala
Raj Tilak,1959,171,Adventure,6.1,14,S.S. Vasan,Gemini Ganesan,Vyjayanthimala,Pran
Rani Rupmati,1959,148,"Action, Adventure",5.8,24,S.N. Tripathi,Bharat Bhushan,Nalini Chonkar,Ulhas
Samarat Prithviraj Chauvan,1959,145,"Adventure, History, Thriller",6.7,9,Harsukh Jagneshwar Bhatt,Paidi Jairaj,Anita Guha,Ulhas
Ujala,1959,109,"Crime, Drama, Romance",6.8,61,Naresh Saigal,Mala Sinha,Shammi Kapoor,Raaj Kumar
Angulimaal,1960,153,"Action, Adventure, Drama",6.1,28,Vijay Bhatt,Nimmi,Bharat Bhushan,Anita Guha
Anuradha,1960,141,"Drama, Romance",6.6,196,Hrishikesh Mukherjee,Balraj Sahni,Leela Naidu,Abhi Bhattacharya
Apna Haath Jagannath,1960,173,Comedy,6.8,25,Mohan Segal,Kishore Kumar,Sayeeda Khan,Nasir Hussain
Barsaat Ki Raat,1960,142,"Drama, Musical, Romance",6.9,117,P.L. Santoshi,Madhubala,Bharat Bhushan,Shyama
Basant,1960,165,"Comedy, Drama, Romance",6.5,33,Bibhuti Mitra,Nutan,Shammi Kapoor,Minoo Mumtaz
Bewaqoof,1960,160,Musical,5.2,35,I.S. Johar,Kishore Kumar,Mala Sinha,I.S. Johar
Bombai Ka Babu,1960,154,"Drama, Musical, Romance",7,154,Raj Khosla,Dev Anand,Suchitra Sen,Jeevan
Chhalia,1960,112,"Musical, Romance",7.4,201,Manmohan Desai,Raj Kapoor,Nutan,Pran
Ek Phool Char Kante,1960,136,"Comedy, Drama, Romance",6.8,46,Bhappi Sonie,Sunil Dutt,Waheeda Rehman,Johnny Walker
Full Moon,1960,169,"Drama, Musical, Romance",7.2,476,M. Sadiq,Waheeda Rehman,Guru Dutt,Rehman
Jaali Note,1960,155,"Action, Crime, Drama",7.3,77,Shakti Samanta,Dev Anand,Madhubala,Kundan
Jis Desh Men Ganga Behti Hai,1960,167,"Drama, Musical, Romance",7.4,435,Radhu Karmakar,Raj Kapoor,Padmini,Pran
Kala Aadmi,1960,140,"Action, Drama, Mystery",6,7,Ved-Madan,Ashok Kumar,Shyama,Johnny Walker
Kala Bazar,1960,163,"Crime, Drama, Musical",7.4,262,Vijay Anand,Dev Anand,Waheeda Rehman,Nanda
Kanoon,1960,150,"Drama, Crime, Mystery",7.9,415,B.R. Chopra,Rajendra Kumar,Ashok Kumar,Nanda
Kohinoor,1960,151,"Action, Adventure, Comedy",6.8,150,S.U. Sunny,Dilip Kumar,Meena Kumari,Azim
Lal Quila,1960,134,Thriller,6.3,9,Nanabhai Bhatt,Paidi Jairaj,Helen,Kamal Kapoor
Maa Baap,1960,130,"Family, Romance",6.6,14,V.M. Vyas,Rajendra Kumar,Kamini Kadam,Pran
Manzil,1960,120,"Drama, Romance",6,65,Mandi Burman,Dev Anand,Nutan,K.N. Singh
Sarhad,1960,118,Drama,7.5,20,Shankar Mukherjee,Dev Anand,Suchitra Sen,Ragini
Shriman Satyawadi,1960,146,"Action, Crime, Drama",7,68,S.M. Abbas,Raj Kapoor,Shakila,Mehmood
Singapore,1960,135,"Crime, Thriller",6.5,71,Shakti Samanta,Shammi Kapoor,Padmini,Maria Menado
Sri Venkateswara Mahathyam,1960,204,"Drama, Musical",8.5,52,P. Pullaiah,N.T. Rama Rao,Savitri,Varalakshmi S.
Sujata,1960,161,"Drama, Romance",7.3,326,Bimal Roy,Nutan,Sunil Dutt,Shashikala
Usne Kaha Tha,1960,150,"Drama, Romance, War",6.8,28,Moni Bhattacharjee,Sunil Dutt,Nanda,Durga Khote
Zimbo Shaher Mein,1960,136,Drama,5.3,6,Nanabhai Bhatt,Chitra,Azaad Irani,Master Bhagwan
Amar Rahe Ye Pyar,1961,121,Drama,6.5,14,Prabhu,Rajendra Kumar,Nalini Jaywant,Nanda
Bhabhi Ki Chudiyan,1961,168,"Drama, Family",5.4,30,Sadashiv J. Row Kavi,Balraj Sahni,Meena Kumari,Sailesh Kumar
Boy Friend,1961,137,"Drama, Romance",7.6,60,Naresh Saigal,Shammi Kapoor,Madhubala,Nishi
Char Diwari,1961,136,"Drama, Romance",6.7,24,Krishan Chopra,Shashi Kapoor,Nanda,Manmohan Krishna
Chhaya,1961,144,"Drama, Romance",7.1,42,Hrishikesh Mukherjee,Sunil Dutt,Asha Parekh,Nirupa Roy
Chhote Nawab,1961,140,"Comedy, Drama, Romance",5.5,24,S.A. Akbar,Ameeta,Mehmood,Johnny Walker
Dharmputra,1961,150,Drama,7.3,87,Yash Chopra,Mala Sinha,Shashi Kapoor,Rehman
Gharana,1961,154,"Comedy, Drama, Family",7.1,53,S.S. Vasan,Rajendra Kumar,Raaj Kumar,Bipin Gupta
Gunga Jumna,1961,178,"Action, Drama, Musical",7.6,523,Nitin Bose,Dilip Kumar,Vyjayanthimala,Nasir Khan
Hum Dono,1961,164,"Drama, Musical, Romance",7.5,394,Amarjeet,Dev Anand,Nanda,Sadhana
Jab Pyar Kisise Hota Hai,1961,139,"Comedy, Drama, Musical",6.8,120,Nasir Hussain,Dev Anand,Asha Parekh,Sulochana Latkar
Jhumroo,1961,171,"Comedy, Drama, Musical",7,539,Shankar Mukherjee,Kishore Kumar,Madhubala,Chanchal
Junglee,1961,139,"Comedy, Drama, Musical",7.3,467,Subodh Mukherji,Shammi Kapoor,Saira Banu,Shashikala
Kabuliwala,1961,95,Drama,7.8,317,Hemen Gupta,Balraj Sahni,Baby Sonu,Usha Kiran
Mem-Didi,1961,137,"Comedy, Drama",7.4,31,Hrishikesh Mukherjee,Lalita Pawar,David Abraham,Tanuja
Mr. India,1961,179,"Comedy, Crime, Drama",6.8,31,G.P. Sippy,Geeta Bali,I.S. Johar,Helen
Nazrana,1961,130,"Comedy, Drama, Romance",6.9,50,C.V. Sridhar,Raj Kapoor,Vyjayanthimala,Usha Kiran
Opera House,1961,107,"Action, Crime, Drama",5.5,14,P.L. Santoshi,Saroja Devi B.,Ajit,K.N. Singh
Passport,1961,127,"Crime, Drama",6.9,26,Pramod Chakravorty,Madhubala,Pradeep Kumar,K.N. Singh
Payaase Panchhi,1961,139,Comedy,7,9,Harsukh Jagneshwar Bhatt,Mehmood,Ameeta,Jeevan
Sampoorna Ramayana,1961,183,"Drama, Adventure, Action",7.4,49,Babubhai Mistry,Mahipal,Anita Guha,Sulochana Latkar
Saranga,1961,130,"Action, Drama, Romance",4.5,24,Dhirubhai Desai,Sudesh Kumar,Jayshree Gadkar,Nilofar
Shama,1961,149,"Drama, Musical, Romance",6.5,10,Lekhraj Bhakri,Nimmi,Vijay Dutt,M. Kumar
Shola Aur Shabnam,1961,135,"Drama, Family",7.3,48,Ramesh Saigal,Dhumal,Jeevan Kala,Ruby Mayer
Stree,1961,139,Fantasy,7.5,21,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Rajshree
Aarti,1962,156,"Family, Musical, Romance",6.6,67,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar
Aashiq,1962,150,Romance,6.7,64,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda
Anpadh,1962,150,"Drama, Musical, Romance",6.6,105,Mohan Kumar,Mala Sinha,Balraj Sahni,Dharmendra
Asli-Naqli,1962,145,"Drama, Musical, Romance",7.5,257,Hrishikesh Mukherjee,Dev Anand,Sadhana,Nasir Hussain
Baat Ek Raat Ki,1962,145,"Mystery, Romance, Thriller",6.8,116,Shankar Mukherjee,Dev Anand,Waheeda Rehman,Chandrashekhar
Banarasi Thug,1962,145,Drama,6.1,21,Lekhraj Bhakri,Manoj Kumar,Vijaya Choudhury,I.S. Johar
Bees Saal Baad,1962,158,"Thriller, Musical, Mystery",7.1,341,Biren Nag,Biswajit Chatterjee,Waheeda Rehman,Manmohan Krishna
China Town,1962,151,"Comedy, Crime, Romance",7.1,201,Shakti Samanta,Shammi Kapoor,Shakila,Helen
Dil Tera Diwana,1962,150,"Comedy, Romance",7,94,B. Ramakrishnaiah Panthulu,Shammi Kapoor,Mala Sinha,Mehmood
Gyara Hazar Ladkian,1962,152,Drama,5.8,5,Khwaja Ahmad Abbas,Mala Sinha,Bharat Bhushan,Helen
Half Ticket,1962,168,"Musical, Comedy, Romance",7.4,484,Kalidas,Kishore Kumar,Madhubala,Pran
Hariyali Aur Rasta,1962,160,"Musical, Drama, Romance",6.9,68,Vijay Bhatt,Manoj Kumar,Mala Sinha,Shashikala
Issi Ka Naam Dunia Hai,1962,130,"Drama, Music",6.7,6,Shakti Samanta,Ashok Kumar,Shyama,Mehmood
Jhoola,1962,147,"Drama, Family",5.9,11,K. Shankar,Sunil Dutt,Vyjayanthimala,Pran
King Kong,1962,142,"Action, Adventure, Comedy",6.3,38,Babubhai Mistry,Kumkum,Dara Singh,Chandrashekhar
Ma Beta,1962,138,"Comedy, Crime, Drama",5,14,Lekhraj Bhakri,Manoj Kumar,Ameeta,Vijay Dutt
Main Chup Rahungi,1962,147,"Drama, Family",7.4,48,A. Bhimsingh,Sunil Dutt,Meena Kumari,Raj Mehra
Man-Mauji,1962,141,"Comedy, Musical",7.1,39,R. Krishnan,S. Panju,Kishore Kumar,Sadhana
Mehndi Lagi Mere Haath,1962,128,"Comedy, Drama, Romance",5.9,23,Suraj Prakash,Ashok Kumar,Nanda,Shashi Kapoor
Nakli Nawab,1962,134,"Drama, Romance",5.9,7,Tara Harish,Ashok Kumar,Manoj Kumar,Shakila
Naughty Boy,1962,128,Comedy,5.4,346,Shakti Samanta,Kishore Kumar,Om Prakash,Madan Puri
Prem Patra,1962,157,"Drama, Romance",7.6,68,Bimal Roy,Sadhana,Shashi Kapoor,Seema Deo
Professor,1962,166,"Comedy, Drama, Musical",7,248,Lekh Tandon,Shammi Kapoor,Lalita Pawar,Parveen Choudhary
Rakhi,1962,133,"Drama, Family",6.5,41,A. Bhimsingh,Ashok Kumar,Waheeda Rehman,Pradeep Kumar
Reporter Raju,1962,138,"Action, Crime, Drama",5.2,11,Dwarka Khosla,Feroz Khan,Chitra,Jeevan Kala
Rungoli,1962,136,"Musical, Drama, Family",6.5,13,Amar Kumar,Kishore Kumar,Vyjayanthimala,Jeevan
Sahib Bibi Aur Ghulam,1962,152,"Drama, Musical",8.3,1557,Abrar Alvi,Meena Kumari,Guru Dutt,Rehman
Shree Ganesh,1962,139,"Adventure, Drama, Fantasy",7.5,6,S.S. Dharwadkar,Mahipal,Sahira,Indira
Vallah Kya Baat Hai,1962,135,"Action, Crime, Drama",5.5,47,Hari Walia,Shammi Kapoor,Bina Rai,Nishi
Aaj Aur Kal,1963,144,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
Bandini,1963,157,"Drama, Musical, Romance",7.7,756,Bimal Roy,Ashok Kumar,Nutan,Dharmendra
Bhootnath,1963,129,Adventure,6.5,60,Nanabhai Bhatt,Mohan Choti,Vijaya Choudhury,Rajan Haksar
Bin Badal Barsaat,1963,154,"Drama, Musical, Mystery",5.7,31,Jyoti Swaroop,Asha Parekh,Biswajit Chatterjee,Nishi
Bluff Master,1963,135,Romance,6.5,112,Manmohan Desai,Shammi Kapoor,Saira Banu,Niranjan Sharma
Dil Ek Mandir,1963,148,"Drama, Musical, Romance",6.7,129,C.V. Sridhar,Meena Kumari,Rajendra Kumar,Raaj Kumar
Dil Hi To Hai,1963,128,"Comedy, Drama, Romance",7.1,122,C.L. Rawal,P.L. Santoshi,Raj Kapoor,Nutan
Ek Dil Sau Afsane,1963,146,"Comedy, Drama, Romance",6.4,52,R.C. Talwar,Raj Kapoor,Waheeda Rehman,Lalita Pawar
Ek Raaz,1963,132,Comedy,6.8,30,Shakti Samanta,Kishore Kumar,Jamuna,Pran
Faulad,1963,145,"Action, Adventure, Drama",6.2,19,Mohammed Hussain,Dara Singh,Mumtaz,Minoo Mumtaz
Ghar Basake Dekho,1963,139,"Comedy, Drama",5.8,16,Kishore Sahu,Manoj Kumar,Sudesh Kumar,Randhir
Godaan,1963,110,Drama,7,58,Trilok Jetley,Raaj Kumar,Kamini Kaushal,Shashikala
Grahasti,1963,154,"Drama, Family",6.8,35,Kishore Sahu,Ashok Kumar,Nirupa Roy,Pushpavalli
Gumrah,1963,155,"Drama, Romance",6.9,147,B.R. Chopra,Ashok Kumar,Mala Sinha,Sunil Dutt
Hamrahi,1963,149,"Drama, Family",6.4,29,T. Prakash Rao,Rajendra Kumar,Jamuna,Mehmood
Jab Se Tumhe Dekha Hai,1963,136,"Drama, Romance",6.2,26,Kedar Kapoor,Pradeep Kumar,Geeta Bali,Siddhu
Kabli Khan,1963,123,"Action, Musical",4.8,9,K. Amarnath,Ajit,Helen,Samson
Kahin Pyaar Na Ho Jaaye,1963,120,Comedy,7.5,24,Kalpataru,Shakila,Mehmood,Om Prakash
Kan Kan Men Bhagwan,1963,124,"Adventure, Drama, Fantasy",5.8,10,Babubhai Mistry,Anita Guha,Mahipal,Ram Singh
Kinare Kinare,1963,111,"Drama, Romance",7.1,46,Chetan Anand,Dev Anand,Meena Kumari,Chetan Anand
Mere Mehboob,1963,164,"Comedy, Drama, Romance",6.9,196,Harnam Singh Rawail,Ashok Kumar,Rajendra Kumar,Sadhana
Mujhe Jeene Do,1963,95,"Action, Crime, Drama",6.6,91,Moni Bhattacharjee,Sunil Dutt,Waheeda Rehman,Nirupa Roy
Nartakee,1963,125,Drama,7,21,Nitin Bose,Sunil Dutt,Nanda,Om Prakash
Parasmani,1963,137,"Adventure, Drama, Fantasy",6.4,41,Babubhai Mistry,Gitanjali,Mahipal,Nalini Chonkar
Shikari,1963,139,"Action, Adventure, Horror",5.7,41,Mohammed Hussain,Ajit,Ragini,Helen
Tere Ghar Ke Samne,1963,149,"Romance, Musical, Comedy",7.4,394,Vijay Anand,Dev Anand,Nutan,Rajendranath Malhotra
Ustadon Ke Ustad,1963,144,"Action, Crime, Drama",7.4,35,Brij,Ashok Kumar,Pradeep Kumar,Shakila
Yeh Dil Kisko Doon,1963,116,"Drama, Romance",5.4,19,K. Mishra,Shashi Kapoor,Ragini,Agha
Yeh Rastey Hain Pyar Ke,1963,150,"Crime, Drama, Romance",6,49,R.K. Nayyar,Ashok Kumar,Sunil Dutt,Leela Naidu
Aap Ki Parchhaiyan,1964,128,"Drama, Family, Romance",6.3,39,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi
Aaya Toofan,1964,128,"Action, Adventure, Fantasy",6.1,14,Mohammed Hussain,Kedar Kapoor,Dara Singh,Helen
April Fool,1964,154,"Comedy, Romance, Thriller",6.1,32,Subodh Mukherji,Saira Banu,Biswajit Chatterjee,Jayant
Awara Badal,1964,134,"Action, Adventure, Drama",5.1,17,B.R. Ishara,Ragini,Ajit,Indira
Ayee Milan Ki Bela,1964,146,"Drama, Romance",6.4,116,Mohan Kumar,Rajendra Kumar,Saira Banu,Dharmendra
Bahurani,1964,133,Drama,6.8,42,T. Prakash Rao,Guru Dutt,Feroz Khan,Nasir Hussain
Benazir,1964,158,"Drama, Romance",7.3,39,S. Khalil,Meena Kumari,Ashok Kumar,Shashi Kapoor
Beti Bete,1964,145,"Comedy, Drama, Family",6.8,31,L.V. Prasad,Sunil Dutt,Saroja Devi B.,Jamuna
Daal Me Kala,1964,128,"Comedy, Drama",6,21,Satyen Bose,Nimmi,Kishore Kumar,Abhi Bhattacharya
Door Gagan Ki Chhaon Men,1964,153,"Drama, Musical",8.2,53,Kishore Kumar,Kishore Kumar,Supriya Choudhury,Amit Kumar
Door Ki Awaaz,1964,135,Romance,6,33,Devendra Goel,Joy Mukherjee,Saira Banu,Pran
Dosti,1964,163,"Drama, Family, Musical",8.4,1552,Satyen Bose,Sudhir Kumar,Sushil Kumar,Sanjay Khan
Dulha Dulhan,1964,141,"Comedy, Drama, Family",7.1,90,Ravindra Dave,Raj Kapoor,Sadhana,Agha
Haqeeqat,1964,184,"Action, Musical, War",7.8,458,Chetan Anand,Balraj Sahni,Dharmendra,Vijay Anand
Hercules,1964,142,Adventure,5.3,33,Shriram,Dara Singh,Mumtaz,Habib
Ishaara,1964,129,Drama,5.4,10,K. Amarnath,Joy Mukherjee,Vyjayanthimala,Jayant
Ji Chahta Hai,1964,99,"Drama, Family",5.9,15,Bibhuti Mitra,Joy Mukherjee,Rajshree,Jeevan
Kashmir Ki Kali,1964,168,"Comedy, Musical, Romance",7.1,487,Shakti Samanta,Shammi Kapoor,Sharmila Tagore,Pran
Khufia Mahal,1964,140,"Adventure, Comedy, Drama",5.8,9,Aakkoo,Paidi Jairaj,Chitra,Mohan Sherry
Kohraa,1964,153,"Drama, Musical, Mystery",6.7,134,Biren Nag,Biswajit Chatterjee,Waheeda Rehman,Lalita Pawar
Leader,1964,176,"Comedy, Romance, Thriller",7.3,190,Ram Mukherjee,Dilip Kumar,Vyjayanthimala,Jayant
Maain Bhi Ladki Hun,1964,152,Drama,7,26,A.C. Trilogchander,Meena Kumari,Dharmendra,S.V. Ranga Rao
Memories,1964,113,"Drama, Mystery",7.6,97,Sunil Dutt,Sanjay Dutt,Sunil Dutt,Nargis
